project,deletions,insertions,moves,diff_path,num_conflicts,overall
thefuck-importC1,0,0,0,0,0,Error
blaze-importC2,0,2,9,0,2,9.910577402820326
blaze-importC1b,7,8,7,4,2,13.79949817106319
blaze-importC4,0,3,2,0,1,4.195896957202833
blaze-importC3,19,4,22,1,0,29.734423546138885
blaze-importC1a,8,37,23,10,11,46.85859496465252
cryptography-importC2,2,0,8,4,0,9.616926815476894
cryptography-importC3,1,4,1,0,0,4.600247565095642
cryptography-importC1,0,3,3,1,0,4.833104482994411
algorithms-importC2,0,2,0,0,1,2.449489742783178
algorithms-importC1,1,2,42,0,1,42.56773312117055
mypy-importC2,1,1,2,0,0,2.780656542539707
mypy-importC4,4,4,10,0,0,11.885857920044968
mypy-importC3,6,3,3,0,0,7.589832097975817
mypy-importC1,2,5,4,0,0,7.017310074887619
transitions-conflict13,1,0,2,0,0,2.6899940478558295
transitions-conflict14,0,1,1,0,1,1.7320508075688772
transitions-conflict25,0,2,0,0,1,2.23606797749979
transitions-conflict24,0,0,0,0,1,Error
transitions-conflict23,0,15,3,2,2,15.556349186104045
transitions-conflict15,3,8,13,3,1,16.34115345923821
transitions-conflict12,0,4,2,1,1,4.795831523312719
transitions-conflict7,2,3,2,0,3,5.313762130308412
transitions-conflict9,0,1,1,0,1,2.0
transitions-conflict1,0,1,0,0,1,1.4142135623730951
transitions-conflict28,0,1,0,0,1,1.4142135623730951
transitions-conflict17,0,1,1,0,1,2.0
transitions-conflict10,0,0,0,0,1,Error
transitions-conflict19,1,2,0,0,2,3.1622776601683795
transitions-conflict26,0,3,0,0,1,3.1622776601683795
transitions-conflict20,0,1,1,0,1,2.0
transitions-conflict18,0,9,1,0,1,9.16515138991168
transitions-conflict27,0,2,1,0,1,2.8698550446842765
transitions-conflict11,0,0,0,0,3,Error
transitions-conflict29,0,0,0,0,1,Error
transitions-conflict16,0,1,0,0,1,1.7320508075688772
transitions-conflict3,6,20,17,9,5,29.062659577144448
transitions-conflict4,0,9,1,0,2,9.273618495495704
transitions-conflict2,1,0,1,0,1,2.1010029896154587
simplecv-importC1,0,0,0,0,5,Error
apistar-conflict13,1,8,2,1,1,8.839764048239232
apistar-conflict12,2,2,6,2,1,7.380868890249417
apistar-conflict7,0,0,0,0,1,1.0
apistar-conflict9,0,0,0,2,0,2.23606797749979
apistar-conflict8,0,0,1,0,1,1.4142135623730951
apistar-conflict1,2,7,4,0,0,8.792418544571117
apistar-conflict6,0,1,0,0,0,1.0
apistar-conflict17,0,0,1,1,0,1.8477590650225735
apistar-conflict10,0,1,1,0,1,1.7320508075688772
apistar-conflict19,1,2,5,0,0,5.841498577044906
apistar-conflict20,4,14,13,0,1,19.938815139975194
apistar-conflict11,0,1,1,0,1,1.7320508075688772
apistar-conflict16,0,0,1,0,0,1.4142135623730951
apistar-conflict3,0,2,0,0,1,2.6457513110645907
pyjwt-conflict1,7,28,9,11,1,32.32985531141909
pyjwt-conflict2,0,1,0,26,1,26.038433132583073
python-oauth2-conflict1,6,2,1,0,1,6.855654600401044
python-oauth2-conflict6,0,1,0,2,1,2.6457513110645907
python-oauth2-conflict4,34,0,0,0,0,34.20526275297414
python-oauth2-conflict5,0,1,0,0,1,1.4142135623730951
python-oauth2-conflict2,47,0,0,0,0,47.21228653645151
apistar-conflict14,0,0,0,0,1,Error
apistar-conflict15,0,0,0,0,1,Error
apistar-conflict18,0,0,0,0,1,Error
apistar-conflict4,0,0,0,0,2,Error
apistar-conflict5,0,0,0,0,1,Error
apistar-conflict2,0,0,0,0,1,Error
