project,deletions,insertions,moves,diff_path,num_conflicts,overall
camus-conflict1,55,109,29,1,0,125.5310713553466
camus-conflict3,27,76,33,0,0,87.20091742636656
camus-conflict2,33,87,36,0,0,99.81983770774224
alternator-conflict13,0,0,9,0,0,9.433981132056603
alternator-conflict14,4,15,12,0,0,19.7262035279376
alternator-conflict12,0,3,1,0,1,3.3166247903554
alternator-conflict9,31,2,2,2,0,31.68748370588824
alternator-conflict8,158,132,89,6,0,224.57367296988755
alternator-conflict1,82,66,42,8,0,113.63098169073432
alternator-conflict6,1,1,0,0,0,1.4142135623730951
alternator-conflict10,17,1,6,0,0,18.548732303995003
alternator-conflict11,70,129,96,4,1,175.4679457906771
alternator-conflict3,0,0,1,0,1,1.7320508075688772
alternator-conflict4,6,1,4,0,0,7.615773105863909
alternator-conflict5,15,4,12,0,0,19.72308292331602
alternator-conflict2,0,0,0,0,6,6.0
TwelveMonkeys-importC2,2,0,0,0,1,2.6457513110645907
TwelveMonkeys-importC1,27,80,48,2,0,97.16723797636216
openhtmltopdf-importC2,1,7,9,0,0,11.575836902790224
openhtmltopdf-importC1,15,196,195,6,1,276.9638965641551
java-websocket-conflict1,7,16,12,2,1,21.34043611462458
java-websocket-conflict2,4,15,8,9,0,19.6468827043885
maven-importC2,3,9,7,0,0,11.916375287812984
maven-importC4,6,19,11,2,2,22.965500507552044
maven-importC3,10,28,11,0,0,31.70173496829472
maven-importC1,6,3,5,0,2,8.774964387392123
stateless4j-conflict7,0,0,0,0,0,0.0
stateless4j-conflict9,0,0,0,0,1,1.0
stateless4j-conflict8,0,1,0,0,1,1.4142135623730951
stateless4j-conflict6,5,5,3,0,0,7.681145747868608
stateless4j-conflict3,7,27,18,0,0,33.19638534539566
stateless4j-conflict4,0,0,1,0,0,1.4142135623730951
antlr4-importC2,21,65,52,0,0,85.87782018658834
antlr4-importC5,0,3,4,0,0,5.0990195135927845
antlr4-importC4,15,48,41,2,0,64.9307323229917
antlr4-importC3,1,21,26,0,0,33.52610922848042
antlr4-importC6,4,24,12,0,0,27.16615541441225
antlr4-importC1,0,4,32,0,0,32.7414110874898
antlr4-importC8,11,25,22,2,0,35.23277549709006
antlr4-importC7,8,67,54,0,0,86.43631220718235
lesscss-maven-plugin-conflict1,5,11,6,0,1,13.527749258468685
mongojack-conflict1,10,3,10,0,3,15.033296378372908
mongojack-conflict2,0,2,2,0,0,2.8284271247461903
duke-conflict1,0,0,6,0,0,6.48074069840786
duke-conflict3,2,1,1,2,0,3.3166247903554
duke-conflict4,0,14,19,0,0,23.68543856465402
duke-conflict2,22,36,25,0,0,49.04079934095692
aws-conflict1,20,36,13,4,0,43.43253578605714
aws-conflict3,15,19,15,8,0,29.68164415931166
aws-conflict2,10,17,8,5,3,22.21615264901423
cucumber.jvm-importC2,1,3,0,1,1,3.872983346207417
cucumber.jvm-importC5,1,12,3,2,1,13.007614655546403
cucumber.jvm-importC4,0,0,3,0,1,3.605551275463989
cucumber.jvm-importC3,3,6,1,0,5,8.426149773176359
cucumber.jvm-importC6,4,4,2,0,0,6.164414002968976
cucumber.jvm-importC1,0,1,14,0,0,14.491376746189438
openshift-java-client-conflict13,0,0,1,0,0,1.0
openshift-java-client-conflict15,43,115,192,14,32,230.5666931714119
openshift-java-client-conflict12,56,160,40,17,6,175.10686512402182
openshift-java-client-conflict7,3,7,6,0,1,10.04987562112089
openshift-java-client-conflict9,30,67,29,7,5,79.42983708603205
openshift-java-client-conflict8,4,66,16,0,0,68.03675477269621
openshift-java-client-conflict10,37,15,13,0,1,42.0429013184802
openshift-java-client-conflict11,2,1,1,0,1,2.9007263852995675
openshift-java-client-conflict3,5,14,13,0,1,20.103555567062408
openshift-java-client-conflict4,9,54,3,7,3,55.35341001239219
openshift-java-client-conflict5,2,40,12,3,6,42.37022619691214
Jest-conflict13,4,7,6,2,0,10.434221741280345
Jest-conflict14,0,0,3,0,0,3.4641016151377544
Jest-conflict15,1,2,4,0,0,4.898979485566356
Jest-conflict12,0,6,1,0,3,6.945219073398605
Jest-conflict7,0,0,5,0,0,5.477225575051661
Jest-conflict9,4,9,9,0,0,13.490737563232042
Jest-conflict8,0,0,1,0,0,1.4142135623730951
Jest-conflict1,2,8,2,0,0,8.48528137423857
Jest-conflict10,1,7,7,1,1,10.14889156509222
Jest-conflict11,2,7,10,0,0,12.569805089976535
Jest-conflict3,2,0,0,0,0,2.0
Jest-conflict4,0,2,0,0,1,2.23606797749979
Jest-conflict2,1,2,0,0,1,2.449489742783178
adt4j-conflict1,3,14,11,0,0,18.14282992424744
FastCSV-conflict1,25,21,13,0,0,35.298725189445584
FastCSV-conflict3,5,26,23,14,0,37.77565353504821
FastCSV-conflict4,1,20,19,7,1,28.513154858766505
FastCSV-conflict2,5,26,23,16,0,38.56163896931768
